date,stock_index,open_price,close_price,daily_high,daily_low,trading_volume,gdp_growth_percent,inflation_rate_percent,unemployment_rate_percent,interest_rate_percent,consumer_confidence_index,government_debt_billion_usd,corporate_profits_billion_usd,forex_usd_eur,forex_usd_jpy,crude_oil_price_usd_per_barrel,gold_price_usd_per_ounce,real_estate_index,retail_sales_billion_usd,bankruptcy_rate_percent,mergers_&_acquisitions_deals,venture_capital_funding_billion_usd,consumer_spending_billion_usd,year
2008-01-01,Dow Jones,3951.71,3972.92,4002.67,3949.32,842264610,8.42,0.39,10.2,3.83,87,27451,587,1.34,125.85,41.3,1749.11,182.0,6295,8.95,35,27.23,3904,2008
2008-01-02,S&P 500,3389.72,3357.57,3405.96,3345.2499999999995,686980684,-0.61,4.64,4.23,4.11,64,27838,1653,1.05,122.84,97.68,1501.32,201.11,9294,4.61,8,61.85,10076,2008
2008-01-03,Dow Jones,4523.58,4481.54,4524.85,4474.38,718147297,5.97,8.17,11.94,4.9,58,22109,1861,0.98,105.21,130.22,2116.18,273.95,9541,9.47,23,79.11,11361,2008
2008-01-04,S&P 500,1198.42,1242.46,1279.97,1170.52,901608343,6.7,7.26,6.74,7.32,71,18669,3283,1.15,124.89,52.23,1832.36,108.13,9915,9.77,5,44.38,7312,2008
2008-01-05,NASDAQ,2028.25,2004.32,2038.99,1995.07,325601280,9.45,4.89,12.63,7.34,119,14698,683,1.35,130.75,21.18,1751.08,496.71,6262,2.17,48,49.38,4166,2008
2008-01-06,Dow Jones,2860.15,2895.48,2937.2,2858.2000000000003,430549899,2.48,8.6,3.27,5.06,105,2462,4811,1.25,82.22,109.89,1349.09,340.06,7977,0.67,6,65.18,5010,2008
2008-01-07,S&P 500,1907.91,1944.26,1965.27,1906.11,917240647,4.24,1.2,10.84,5.47,86,15636,4410,0.83,88.24,24.08,1738.14,488.29,6766,3.31,15,12.55,5751,2008
2008-01-08,Dow Jones,3975.62,4002.87,4031.72,3934.04,998619794,0.02,9.1,5.81,0.79,106,7746,4705,1.14,102.06,73.21,1846.5,422.98,8285,4.89,16,82.88,2271,2008
2008-01-09,Dow Jones,4676.83,4643.71,4720.48,4614.14,688936264,5.17,8.46,12.34,3.39,109,9880,610,1.49,102.62,99.65,1104.65,153.72,2803,0.93,29,83.71,13045,2008
2008-01-10,Dow Jones,2695.08,2727.26,2770.44,2677.18,214085083,1.95,7.08,7.23,3.79,61,6465,4221,1.05,143.04,70.18,2050.98,183.63,8023,1.41,7,54.15,12617,2008
2008-01-11,Dow Jones,2368.53,2395.46,2414.04,2323.82,192670605,1.56,8.18,10.65,5.81,56,3178,3913,1.11,127.92,53.88,1467.99,113.78,184,9.72,2,18.84,13746,2008
2008-01-12,S&P 500,4846.2,4855.87,4866.31,4842.69,6614810,7.83,5.44,14.15,5.8,115,22989,2340,1.0,106.15,123.9,2061.87,433.52,5758,7.37,24,50.13,4768,2008
2008-01-13,NASDAQ,2779.41,2763.13,2818.17,2714.11,10704081,-4.25,6.75,2.27,7.24,90,13868,2250,1.15,136.64,59.12,1102.11,337.38,8057,8.75,28,10.68,12387,2008
2008-01-14,S&P 500,2956.19,2932.44,2977.84,2901.63,826755433,8.23,5.61,2.14,7.31,73,11699,3302,0.91,102.62,43.41,1916.09,186.03,4966,9.71,20,76.35,14556,2008
2008-01-15,S&P 500,2406.6,2368.79,2416.2,2359.62,692771176,7.78,3.55,12.01,2.73,74,5807,442,0.97,149.35,70.49,845.7,488.03,3214,3.78,5,31.18,7523,2008
2008-01-16,S&P 500,4638.19,4639.169999999999,4684.389999999999,4604.24,637756421,2.6,5.69,10.4,7.82,111,20007,1523,1.3,134.71,37.12,1070.24,394.7,7977,6.88,22,31.18,5935,2008
2008-01-17,NASDAQ,3275.82,3284.3500000000004,3294.26,3237.65,638770400,2.35,2.57,5.81,0.69,93,3643,3967,0.9,136.59,109.75,2314.91,382.21,3772,1.84,49,94.51,13893,2008
2008-01-18,Dow Jones,4048.7,4034.63,4049.99,4013.16,887424292,0.43,4.4,8.43,7.3,51,3300,4495,1.45,98.27,112.31,1584.5,206.8,6024,5.52,10,42.24,8808,2008
2008-01-19,Dow Jones,4247.23,4244.77,4248.24,4201.69,575977769,9.91,2.81,2.55,1.47,91,17207,245,1.02,90.15,21.92,1663.37,225.35,1473,2.1,5,78.98,413,2008
2008-01-20,Dow Jones,2367.4,2353.75,2398.52,2346.21,219668120,-3.33,1.23,4.5,7.43,82,28759,2917,1.2,107.27,110.33,2342.88,367.19,9755,1.6,26,63.75,1460,2008
2008-01-21,NASDAQ,2734.78,2748.88,2781.96,2720.84,474680204,3.85,3.22,7.52,5.51,66,19086,4657,1.03,103.4,58.87,1624.39,337.42,9866,0.98,26,31.69,2224,2008
2008-01-22,Dow Jones,4393.89,4434.02,4449.570000000001,4389.22,476638069,5.23,8.52,12.84,4.65,112,23086,1015,1.13,133.89,105.31,1912.8,358.91,5111,5.8,12,12.47,927,2008
2008-01-23,NASDAQ,2453.02,2419.41,2469.02,2408.87,167864291,9.01,3.81,8.24,7.06,71,24326,2011,1.43,92.2,111.84,1177.32,451.53,6052,9.5,8,79.79,1776,2008
2008-01-24,Dow Jones,4175.74,4163.88,4192.71,4151.9400000000005,17404064,6.7,7.48,9.62,0.85,50,2294,3801,0.85,116.92,56.11,938.67,164.16,7430,1.22,7,76.27,10439,2008
2008-01-25,Dow Jones,4763.97,4728.06,4797.9800000000005,4682.18,893872404,4.66,1.75,13.36,2.62,119,10940,1439,1.4,123.97,44.1,1400.7,146.53,2752,5.02,44,17.0,4491,2008
2008-01-26,S&P 500,3492.84,3505.33,3508.24,3488.9300000000003,884722593,-3.25,4.24,6.01,6.36,103,2842,2346,1.19,106.96,127.43,2157.76,325.85,2190,6.87,26,24.99,3878,2008
2008-01-27,NASDAQ,3966.51,3989.4,4035.86,3945.14,630486391,0.61,1.15,11.11,8.55,63,28469,4017,1.27,94.04,116.09,1559.62,300.06,396,4.96,31,76.65,12055,2008
2008-01-28,S&P 500,4220.39,4263.58,4274.71,4193.77,326299299,-2.92,1.39,13.2,4.12,102,12092,3051,0.84,142.7,128.83,1085.86,261.15,1230,9.12,28,98.36,11621,2008
2008-01-29,S&P 500,4380.16,4358.05,4430.139999999999,4313.12,478671568,8.22,6.17,4.63,2.96,55,10667,597,1.33,89.72,76.64,1726.67,461.89,3084,1.66,45,84.38,1560,2008
2008-01-30,S&P 500,2580.21,2625.23,2633.81,2530.33,55713353,6.24,6.07,6.63,5.43,113,19929,3048,0.89,101.27,79.33,1248.53,323.35,9008,0.24,32,68.45,2854,2008
2008-01-31,NASDAQ,1205.05,1161.38,1243.63,1123.7099999999998,137759254,6.36,2.13,14.74,6.41,82,1807,890,1.48,132.96,64.74,2409.34,326.9,7697,3.83,4,91.55,5870,2008
2008-02-01,NASDAQ,2607.51,2617.8100000000004,2628.9800000000005,2558.9700000000003,468301419,4.78,4.74,14.78,4.49,93,16035,4300,1.36,122.37,84.88,1781.6,246.57,4083,5.55,37,28.6,10862,2008
2008-02-02,Dow Jones,3695.02,3650.73,3699.06,3611.37,674425146,2.61,8.63,4.9,8.83,83,15445,109,1.15,131.15,104.05,2471.04,237.63,6620,2.55,8,1.06,9069,2008
2008-02-03,S&P 500,2801.4,2840.78,2884.53,2753.24,282167233,-2.75,1.74,2.86,5.47,83,15184,3198,1.45,136.61,125.89,873.22,495.04,9599,1.68,12,32.16,1663,2008
2008-02-04,Dow Jones,3995.85,3998.83,4041.77,3960.49,474515746,-0.05,0.19,5.52,0.84,73,1955,2916,0.92,142.68,43.81,819.65,349.23,4526,8.05,32,97.2,5338,2008
2008-02-05,S&P 500,2427.93,2444.86,2465.0399999999995,2423.94,560973261,-2.95,6.52,7.17,2.62,51,26038,426,1.49,101.32,72.7,1611.06,430.05,4431,1.89,29,88.21,8686,2008
2008-02-06,NASDAQ,3538.98,3572.14,3607.26,3518.88,895894840,5.87,0.53,7.73,4.78,57,26793,3666,1.3,113.2,79.96,2265.4,278.98,9153,4.43,24,5.13,9812,2008
2008-02-07,NASDAQ,1745.68,1710.71,1773.53,1678.38,16489518,-2.6,9.8,10.04,7.13,74,11121,982,0.87,128.18,83.44,1691.49,176.74,7918,9.54,5,50.25,1372,2008
2008-02-08,NASDAQ,3997.48,3951.34,4040.13,3933.8,689854508,5.53,6.1,13.69,2.59,81,5891,1771,1.18,135.63,90.46,2289.52,229.94,4911,6.13,38,7.99,5226,2008
2008-02-09,S&P 500,3182.78,3220.67,3236.42,3169.11,495898344,5.38,4.7,6.29,9.77,105,3039,837,1.3,120.45,124.23,1021.96,238.45,5276,4.98,9,78.92,5632,2008
2008-02-10,NASDAQ,1816.26,1797.75,1842.44,1768.88,491891905,1.89,4.3,13.05,3.53,56,4118,2274,1.23,115.96,135.21,1988.86,325.97,2584,3.6,35,37.32,5156,2008
2008-02-11,S&P 500,2167.64,2130.54,2191.91,2083.86,754402386,-2.97,5.73,3.22,5.56,97,2878,1023,1.1,128.42,40.69,1921.79,161.85,9389,5.2,49,91.2,8946,2008
2008-02-12,Dow Jones,3994.43,3991.28,4012.13,3989.53,177432463,-0.28,0.91,2.54,0.68,103,25950,4366,0.97,106.74,112.65,1726.44,254.81,6239,7.34,47,5.54,11882,2008
2008-02-13,S&P 500,2930.4,2940.23,2984.8,2891.94,546550058,-0.2,9.3,8.55,8.91,112,28746,4582,0.97,142.56,82.28,1488.68,140.23,6362,8.23,18,73.43,1575,2008
2008-02-14,Dow Jones,1864.13,1817.23,1872.42,1781.09,557312555,5.51,6.26,2.78,7.99,51,19089,2924,1.45,94.86,74.3,1900.02,298.61,670,6.5,10,40.0,10906,2008
2008-02-15,S&P 500,4869.08,4846.57,4876.56,4798.37,200147352,-3.29,1.84,7.1,2.36,84,13219,1253,0.96,141.88,34.73,1735.16,478.97,1414,7.9,16,26.9,6118,2008
2008-02-16,Dow Jones,3860.5,3813.78,3889.35,3767.24,400313408,7.44,5.63,13.66,9.37,71,1639,2170,1.47,125.05,28.34,1263.46,235.57,9239,0.88,1,51.79,7287,2008
